Global,Ex,Inh
Fez1,Slc17a7,Gad2
Phyhipl,Rtn4rl2,Slc32a1
Aplp1,Slc30a3,Adarb2
Gnao1,Cux2,Nfix
Caly,Stard8,Nfib
Snap25,Otof,Cxcl14
Atp1a3,Rrad,Tnfaip8l3
Camk2b,Penk,Cplx3
Syt1,Col23a1,Lamp5
Gabrg2,Agmat,Pax6
Fabp3,Emx2,Krt73
Stmn2,Hpgd,Sncg
Kif5c,Macc1,Prox1
Slc17a7,Olfr78,Ndnf
Nrn1,Tcap,Ntn1
Neurod2,Rorb,Pde11a
Sv2b,Fgf17,Pdlim5
Satb2,Rspo1,Lsp1
Tbr1,Whrn,Slc35d3
Vsig2,Scnn1a,Cxcl5
Slc32a1,Endou,Nkx2-1
Gad2,Fezf2,Pdlim3
Dlx1,Hsd11b1,Vip
Dlx5,Batf3,Serpinf1
Dlx2,Colq,Slc10a4
Dlx6os1,Pld5,Cldn10
Slc6a1,Wfdc18,C1ql1
Sox2,Htr2c,Etv1
Adamts19,Wfdc17,Ptprk
Trp73,Aldh1a7,C1ql3
Lhx5,Rxfp2,C1ql1
Lhx1,Cpa6,Crabp1
S100a13,Gkn1,Crispld2
S100a16,Tgfb1,Slc17a8
Cmtm5,Prss35,Cyb5r2
Kcnj10,Ctsc,Nr1h4
Gja1,Osr1,Prss12
Gjb6,Oprk1,Igfbp6
Aqp4,Cd52,Calb2
Lcat,Col18a1,Gpc3
Acsbg1,Car3,Pthlh
Olig1,Ctxn3,Sostdc1
Sox10,Ctgf,Mab21l1
Neu4,Fam84b,Tpbg
Gpr17,Chrna6,Slc18a3
Sapcd2,Fn1,Rspo1
Ccnb1,Erg,Lmo1
Brca1,Tac1,Myl1
Plp1,Pvalb,Rspo4
Cldn11,Dppa1,Chat
Mag,Bmp5,Cbln4
Mog,Depdc7,Cbln4
Mog,Stac,Gsx2
Opalin,C1ql2,Itih5
Gjb1,Ptgfr,Mybpc1
Hapln2,Slco2a1,Lhx6
Cyba,Lrrc9,Sox6
Ctsh,Pappa2,Sst
Ifitm3,Foxp2,Calb1
S100a11,Sla2,Chodl
Vtn,Slc17a8,Gabrg1
Igf2,Trh,Lgr6
Slc6a13,Syt6,Tacr3
Dcn,H60b,Etv1
Col1a1,Gpr139,Il1rapl2
Slc13a3,Nxph4,Edn1
H2-Q7,Mup5,Hpse
Six2,Fam150a,Igsf9
Cxcl9,Fbxl7,Myh8
Slc22a6,F2r,Myh13
Col15a1,Olfr111,Chrna2
Slc38a11,Olfr110,Ptgdr
Atp13a5,Serpinb11,Crygs
Ace2,P2ry12,Crhr2
Kcnj8,Kynu,Col6a1
Acta2,Crh,Tacstd2
Myh11,Hsd17b2,Th
Slco1a4,Mup3,Nts
Cldn5,Lhx5,Il7
Ctss,Trp73,Bche
C1qa,Reln,Tac1
C1qb,Cdh13,Pvalb
C1qc,Cpne7,Syt2
F13a1,Marcksl1,Ntf3
Mrc1,Alcam,Ostn
Mpeg1,Efr3a,Gpr149
Siglech,,Vipr2
,,Meis2
,,Adamts19
,,Reln
,,Nr2f2
,,Cck
,,Npy
,,Crh
,,Tac2
